Turkish,Arabic Syrian
Günaydın tatlım benim. Günaydın.,صباح الخير حبيبتي
Kızım iyi misin sen?,انت بخير بنتي ؟
Ne demek istiyorsun?,شو قصدك يعني ؟
Sağ ol. Utandırma beni.,"شكرا ، لا تخجلني"
Eee ne yapıyorsun?,"اي ، شو عم تعملي ؟"
"Haklısın oğlum, haklısın.","معك حق ابني ، معك حق"
Gelir misin benimle?,ممكن تجي معي ؟
Sağ olun kızlar.,شكرا يا بنات
Sağ olasın teyzem.,شكرا يا خالتي
Yani tabii haklısın.,طبعا معك حق
Hadi hareket et.,يلا تحرك
Ne yapıyorsun be?,شو عم تعملي ؟
Hadi dans edin.,يلا رقصوا
Size iyi geceler.,تصبحوا علي خير
Çok sağ olun.,شكرا الك
"Beni düşün, Yusuf'u düşün.","فكر فيني ، و فكر ب يوسف"
Ne diyorsun sen?,شو عم تقولي انتي ؟
Biz seni biliyoruz amca.,نحن منعرفك عمي
Anladın mı beni?,فهمتي عليي ؟.
Ben senin yerinde olsaydım...,لو انا كنت مكانك ..
Baba bir dakika.,بابا دقيقه
Benim bir kalbim var.,انا في عندي قلب
Hiç şeyden haberim yok.,ما عندي علم باي شي
Kulübü satın aldım.,اشتريت النادي
O da muhtemelen diyor ki...,فمن المحتمل انو يقول ..
Evlilikte sevgi çok önemli.,"بالزواج ، الحب مهم كتير"
Benden özür dileyeceksin.,"انت ، لازم تعتذر مني"
Sesi duydunuz mu?,سمعتي هالصوت ؟
Ağlama lütfen ağlama.,لا تبكي لو سمحتي
Hoş geldin tatlım.,اهلا و سهلا حبيبتي
Ne yapıyorsun ya?,انت شو عم تعمل ؟
Özür mü dileyeceksin?,بدك تعتذري ؟
Ne diyorsun sen ya?,شو يلي عم تقوليه ؟
Ne diyorsun ya?,شو الي عم تقولو ؟
Sakın saçmalama sakın.,لا تتصرفي بغباء
O da dikkat et oğlum.,اوجان انتبه منيح يا ابني
Hangi hikaye kardeşim?,اي قصه اخي ؟
Yusuf'un kalbini kazanman lazım.,انتي لازم تكسبي قلب يوسف
Ah merhaba ekip!,مرحبا فريق
Sen de sever misin bitkileri?,انتي بتحبي النباتات كمان؟
Hazır mısın? Hazırım.,انت جاهز ؟
Hiç korkmayın be.,لا تخاف ابدا
"Tamam, sakin ol.","تمام ، اهدي شوي"
Hadi devam edelim biz.,يلا خلينا نكمل
Ne işi? Hangi iş?,"اي وظيفه؟ ، اي وظيفه ؟"
Tamam bitti gitti.,وانتهي الموضوع
E hadi gidelim.,اي يلا نروح
Sorma kardeş ya.,لا تسالني شي اخي
Zınnamı çay iç.,عالقليله شربي شاي
"Affet beni, beni affet, affet.","سامحيني ، انا بترجاكي سامحيني"
Evden ayrıldık da.,"نحن ، تركنا البيت"
Kızım şakalaştım sadece.,بنتي انا بس كنت عم امزح معو
Ne demek? Nasıl yani?,"شو؟ ، كيف يعني ؟"
"Alo, efendim oğlum.","الو ، اهلين ابني"
Benim eve dönmem gerek. Nereye?,"انا ، لازم ارجع عالبيت"
Çok haklısın oğlum.,معك حق ابني
Biliyorum ki sen güçlüsün.,بس انا بعرف انك قوي و قبضاي
Ben seni anladım.,انا فهمتك
Sen karışma Susan.,انتي لا تتدخلي سوسن
Senin olmadığın herhangi bir yere.,لاي مكان انتي مو موجوده فيه
"Ozan, gel oğlum.","اوجان ، تعال ابني"
Gel gel gel,"يلا تعال تعال ، تعال"
"Allah kahretsin ya, Allah kahretsin!","الله يلعن ، الله يلعن"
Duruk senin hayallerin varmış.,دوروك انت عندك احلام بدك تحققا
Seherciğim kahvemi tazeleyebilir misin lütfen?,حبيبتي سحر ممكن تصبيلي قهوه لو سمحتي ؟
Peki ben ölmekten korkuyor muyum?,"بتعتقدي ، انو انا بخاف من الموت ؟"
"Bir dakika, bir dakika.",دقيقه دقيقه
Ama teşekkür ederim.,بس شكرا كتير
Öbürü oğlundan sebep.,والتانيه بسبب ابنا كمان
"Bir dakika canım, bir dakika.","دقيقه حبيبتي ، بس دقيقه"
Sen bir şey mi diyecektin? Ne oldu?,كان بدك تقولي شي؟ شو في؟
Şöyle davranma bana ya. Yorulmadın mı?,لا تصرف معي بهي الطريقه ما تعبت ؟
Kendi kurallarını da görmezden gelir olmuşsun.,انت عم تتجاهل قوانينك الخاصه كمان
Kesin kocaman bir ev olur ha.,اكيد رح يكون البيت كبير
Senin araban nerede? Otoparka mı koydun?,اااا وين سيارتك حطيتيا بالكراج ؟
En zor zamanında umut oldun Yusuf'a.,"انتي كنتي الامل ، ل يوسف باصعب الاوقات"
Amerikan heykeli bir Türk karakolunda mı?,تمثال امريكي بمخفر تركي ؟
Sen benim yerimde olsaydın ne yapardın?,لو انتي مكاني شو كنتي بتعملي ؟
"Aa, annemle de gelmişsin öyle diyordun.",قلتلنا انو كنت تجي مع امي كمان لهون
Ya sabah biraz hasta uyandım da.,"بس ، فقت الصبح كنت مريضه شوي"
Gel oğlum gel. Otur ayakta kalma.,"تعال ابني ، اقعود لا تضل واقف"
Beni de annem aramış on iki kere ya.,"اوووووف ، وانا امي اتصلت فيني ، 12 مره"
Yok yok tahmininiz doğru zaten. Biz eskiden sevgiliydik.,"لاء لاء احساسك صح ، نحن كنا حبيبين من قبل"
"Safa da benim oğlum olacak, anla.",صفا بيكون ابني كمان فهمي
"Adamlarımın beni takip etmelerine izin verin, kaçtım.","خلوا رجالن يلاحقوني ، و انا هربت"
Teşekkür ederiz. Biz gelmeden yedik bir şeyler.,شكرا الك نحن اكلنا قبل ما نجي لهون
Heyecanlı mısın bakalım yeni işin için?,متحمسه علي شغلك الجديد؟
Nesi var amcamın iyi mi peki şu an?,شو صاير مع عمي هو بخير هلق ؟
Bir kere doğruyu konuşun ya hadi.,بس شي مره قولو الحقيقه يلا
Ya senin ne kadar güzel bir kalbin var sevgilim.,يا الله انتي عندك قلب كتير طيب حبيبتي
Siz de konağa dönün. Ben buradayım.,"انتوا رجعوا عالقصر ، انا هون"
Hak ettiğin gibi bir geleceğinin olması.,و يكون عندك المستقبل يلي بستحقيه
Teyzem beni çok seviyor. Ben de onu.,خالتي بتحبني كتير وانا بحبا
Ve öyle anlaşıldıysam senden özür dilerim. Yok.,اذا عنجد فهمتي هيك فانا بعتذر منك
Amca pek bir cesur gördüm seni.,"عمي ، انت صاير كتير شجاع"
Yorulduysan mola ver biraz çay iç?,اذا تعبتي خدي استراحه و شربي شاي
Sen bana kötülüklerin en büyüğünü yaptın Doruk.,انت ساويت اكبر شر بحقي دوروك
Ne yapıyorsun sen burada be adam?,شو عم تعمل هون يا رجل ؟
Yani Yusuf tamamen elimizden gitmiş olabilir.,"يعني يمكن ، يوسف ضاع من ايدينا تماما"
Ömer kızımın hayatını kurtarmış. Teşekkür etmek istedim o kadar.,عمر انقذ حياه بنتنا وكان بدي اتشكرو بس هيك
Boş bir taksi yolla ya Rabbim şu evliliğimi kurtar ya.,يالله بعتلي تاكسي باسرع وقت وانقذلي زواجي يا الله
Ha babasıyla vakit geçirsin dedin yani.,"ااااه ، اجي ليقضي وقت مع ابوه"
"İyi geceler oğlum, Allah’a emanet ol.","يلا ، تصبح علي خير بامان الله ابني"
Bundan da o ses kayıtlarını falan sildim.,و حذف التسجيلات الصوتيه و كلشي
"Canım, hadi bir şeyler yemen lazım.","لا تعاند حبيبي ، انت لازم تاكل شي"
Hocam benim babam zengin bir adam.,بصراحه ابي رجال غني
Ne diyorsun sen ya ne saçmalıyorsun? Ne saçmalıyorsun?,شو عم تخبص انت شو عم تقول ؟
Oğlum neredesin sen? Saat kaç oldu gecenin körü?,"وين انت يا ابني؟ ، شو عم تساوي بنص الليل برا ؟"
Sen Yusuf'u aldı odaya götür olur mu?,ممكن تاخدي يوسف عالغرفه ؟
Sonra kardeşin bir kaplan kadar güçlü.,وبعدين اخوكي قوي متل النمر
Anne sen benimle dalga mı geçiyorsun ha?,امي انتي عم تتمسخري عليي مو هيك ؟
Yoksa pişman ederim bak seni ha!,والا بخليك تندم
Kim bilir belki bir gün baban da büyür.,"مين بيعرف ؟ ، يمكن يكبر ابوك شي يوم ؟"
"Yüzüne ve gözlerine bak, maviye döndüler.",شوف وجهو وعيونوا صاروا زرق
Ne kadar özür dilesem yetmeyeceğinin de.,وقد ما اعتذرت منك ما بكفي لتسامحيني
Ne işin var senin benim mutfağımda?,انت شو عم تساوي بمطبخي ؟
Kapıyı pencereye kırıp aldı ama Yusuf'un.,كسر باب البيت و فات اخدو ل يوسف
Ulan benim ne güzel bir evim vardı ya.,قسما بالله كان عندي بيت كتير حلو
Satrançtaki planımı çaktıkları için biraz tedirginim.,بس انا متوتره بعد ماعرفوا خطتي بلعبه الشطرنج
Neyse hadi hemen gidelim eve de giyinelim zaten.,يلا خلونا نروح عالبيت لنلبس تيابنا
"Şey Orhan amca, ben de size gelebilir miyim?","طيب عمي اورهان ، فيني انا اجي معكن ؟"
Her insan öldüğünde ve toprağa gömüldüğünde,"كل انسان بعد ما يموت ، وبيندفن بالقبر تحت التراب"
Yusuf'la ilgili bir gelişme var mı?,صار شي جديد بخصوص يوسف؟
Ayrıca bu kapı niye kilitli ya?,وبعدين ليش هادا الباب مقفول وين المفتاح ؟
O günahsız kuzunun suçu ne baba?,شو ذنب هداك الطفل البريء يا بابا ؟
Ömer senin onun babası olduğunu öğrendi.,"عمر ، عرف انو انت بتكون ابوه الحقيقي"
İki dakika rol yaptık şurada sadece,نحنا بس ساونيا تمثيليه لدقيقتين
"Peşimden koştun, yardım ettin, beni kurtardın.","انت لحقتني ، وساعدتني وانقذتلي حياتي"
Tamam çok sağ olun doktor hanım.,"ماشي ، شكرا دكتوره"
İnşallah dediğin gibi kolay olur. Olacak.,انشالله يكون سهل متل ما عم تقولي
Şimdi beni kovuyorsun ama er geç anlayacaksın hatanı.,انت عم تقلعني هلق بس عن قريب رح تفهم غلطك
Oğlum hemen böyle moral bozma .,ابني لا تعكر مزاجك بسرعه
"Hoş geldin güzel gözlüm, hoş geldin. Haklısın.",اهلا وسهلا يا صاحبه احلي عيون اهلا وسهلا معك حق
Ben de kızım ben de ben de.,و انا يا بنتي و انا و انا
Bir şey diyemiyorum kızlar. Çok haklısınız. Özür dilerim. İyi.,"ما فيني قلكن شي بنات ، انتوا معكن حق ، بعتذر منكن"
Bak ben bu çocuğun babasıyım ve ben iyi bir babayım.,"انا ابوه لهالولد ، وانا اب منيح"
"Benim, İstanbul'da yaşayan bir arkadaşım var.","انا ، عندي رفيق عايش باسطنبول"
Hemşire hangi odada olduğunu söyledi mi?,باي غرفه قالتك الممرضه ؟
Şu yandaki de vefat eden abim.,ويلي جنبهن اخي يلي توفي
Kiraz! Neredesin kızım sen? Ne oldu sana?,"شهناز ، وين كنتي يا بنتي شو صاير معك ؟"
Bu ruh hastası çocuk beni depoya kapattı. Öleyim diye kapıyı üzerime kilitledi.,"هادا المريض النفسي هو حبسني بالمستودع ، و قفل عليي الباب كمان مشان موت"
Eğer olur da bir gün bütün dediklerimizi unutup da bir aptallık yapıp ayrılırsak...,"اذا صار واجي يوم ونسينا كل يلي قلناه ، واذا تصرفنا بغباء وانفصلنا.."
Bakın benim gerçekten çok önemli bir görüşmem var. İş görüşmesi geç kalıyorum lütfen. Hayır.,انا في عندي موعد كتير مهم وهو لقاء شغل مابدي اتاخر لو سمحت
Ya da biraz zamanın varsa bir kahve falan içelim bir yerlerde ne dersin?,او اذا عندك شويه وقت فينا نقعد و نشرب قهوه شو رايك ؟
Bu kadar mı düşmansın bana? Bu kadar mı nefret ediyorsun benden?,معقوله انت بتعتبرني عدوتك و بتكرهني لهي الدرجه؟
A ve B kümesinin ortak elemanlarını bulabilmemiz için ne yapmamız lazım?,شو لازم نساوي لنلاقي العنصر المشترك للمجموعتين A و B؟
Ya yalan söylediğin yetmedi biliyorsun hakaret ediyorsun artık yuh ama ya.,ما بيكفي انك كذبتي وكمان عم تهينينا ياعيب الشوم عليكي
Ay sen hayatında ilk görüşte aşk diye bir şey duymadın mı Leyla?,انتي ولا مره بحياتك سمعتي بالحب من النظره الاولي ليلي ؟
Sen bir araba kazası falan mı geçirdin? Sarsıntı mı geçirdin? Ne bu?,اتعرضت لحادث سياره مثلا او خابط راسك شو صابك ؟
Ne yapacaksın ne diyeceksin? Oğulcan'ın arabayı çaldırdı diyeceksin kesin değil mi?,"شو بدك تقولي هلق ؟ ، اوجان اتفق مع حدا ليسرق السياره ؟"
Allah'ım ne yapacağım ben? Ben ne yapacağım? Bana bir yol göster ne olursun.,"يا الله شو بدي اعمل هلق ؟ ، يا الله ساعدني قلي شو اعمل ؟"
O gün geldiğinde hiç ağlayıp sırlayıp da abi beni affet diye yalvarma.,و لما يجي هداك اليوم لا تترجيني و قولي سامحني يا اخي
Üstün Bey siz hasta ziyaretine mi geldiniz yoksa merakınızı gidermeye mi?,"سيد اوستون ، انت اجيت لتزور المريضه ولا عندك فضول تعرف شو صاير بالضبط ؟"
Amcan da tıpkı benim seni sevdiğim kadar çok seviyor seni. Sevme sokağını.,ما يكون عندك شك انو عمك بحبك متل ما انا بحبك
Ne alaka Doruk öyle mi dedim ben öyle değil tabi ki E olsun Sen arada söyle,"شو هالحكي دوروك ؟ ، انا قلت هيك ما كان هيك قصدي"
Ya tamam seni anlıyorum da demek ki bir yanlış anlaşılma var.,"اه ، لاء فهمان عليكي بس يمكن ، صار سوء تفاهم"
Bir de utanmadan bana ta oradan laf mı sokuyorsun ya sen?,انتي ما بتستحي علي حالك ابدا وعم تسمعيني كلام كمان ؟
geçen gün ben sizi dans ederken gördüğümde oldu bu iş tamam diyordum.,شفتكن هداك اليوم عم ترقصوا سوا لهيك قلت انو اموركن تمام
Demeyeyim demeyeyim demeyeyim demeyeyim demeyeyim diyorum ama zorla dedirticeksiniz ha kusura bakmayın,"مابدي احكي مابدي احكي مابدي احكي مابدي احكي بس عذروني ماعد اقدر ضل ساكت ، بدي احكي يلي عندي"
Ben de bir an önce sana gelmek için hızlı hızlı çalıştım. Ama çok...,انا حاولت خلص شغلي بسرعه مشان ما اتاخر عليك
Rüzgar Adamı almış ve bir anda Hindistan'da çok uzak bir adaya göndermiş.,"الريح اخدت هداك الرجال ، وحطتو بجزيره كتير بعيده بالهند"
Sizi ararsa ya da bir şey öğrenirseniz lütfen bana da haber verin.,اذا عرفت اي شي او اتصل فيك بترجاك خبرني بسرعه
Böyle gitti işte sen gittin ona. Çünkü sen katilsin İkbal. Katilsin. Katilsin. Seni öldürdün. Katil.,"انتي هيك زتيتيها لكوثر ، انتي قاتله وكوثر ماتت بسببك ، انتي قاتله ، قاتله ، قاتله ، انتي قتلتيها ، قاتله ، قاتله"
O gidince bütün işler de sana kaldı değil mi Hilmi ya?,صار كل الشغل عليكي بعد ما راح مو هيك حليمه ؟
Bugün bütün gün uyur da biz de biraz rahat nefes alırız.,"اليوم الكل رح يناموا ، و نحن منرتاح و مناخد نفس"
Abi çağırabilirsin abicim çok güzel de bir odan olur istediğin gibi takılırsın.,"طبعا فيكي تعزمين ، عندك غرفتك بتعملي فيا شو ما بدك"
"Ne demek inanırsa ya? Gözlerimi kapadım, enerjimi yolladım oldu. He he oldu.","كيف يعني اذا صدقت ؟ ، انا غمضت عيوني ، و ارسلت طاقتي ، و صار"
Ama anneni de ilgilendiren bir konuysa biliyorsun annen evde yok Suzan işte şu an yani.,بس اذا كان الموضوع بخص امك بتعرف هي هلق مو بالبيت سوزان بالشغل
"Sevdiğimiz kızlara karşı aşk ve övgü dolu sözleri paylaşmak normal, değil mi?",بتوقع عادي انو نتشارك بكلام الحب والغزل تجاه البنات يلي منحبن مو هيك ؟
Yani kocasından korkuyor belki de polise de gidemiyor. O zaman kime gidecek?,بلكي بتخاف من زوجا و بتخاف تشتكي عليه للشرطه لعند مين بدا تروح ؟
Ya bence bu kadarı Suzan'ı delirtmeye yeterli. Ama istiyorsanız devamını dinleyebiliriz.,"براي هاد بيكفي ليخلي سوزان ، تجن ، بس اذا بدكن بسمعكن الباقي"
"Yani yeter ki hep birlikte olalım, huzur içinde olalım o yeter.",بيكفي نكون كلياتنا سوا ونعيش مع بعض بامان
Ömer'i de alıp güzel güzel çıkıp gideceğiz demedim mi ben sana?,مو قلتلك رح يطلع عمر و ناخدو و نروح عالبيت ؟
 Gitmeden bir de Yusuf'u göreyim ben. Mutfakta demiştin değil mi?, بالاول بدي شوف يوسف قبل ما امشي هو بالمطبخ مو هيك ؟
"Yusuf'u madem bu kadar çok önemsiyorsun, onu bir dakika bile yalnız bırakmayacaksın. Böyle saçma...","طالما مهمتك تهتمي ب يوسف ، ما لازم تتركيه لحالو ابدا"
Az kalsın kendimi üç tane hanımla tatlış bir aşk filminde bulmaktan korkuyordum da.,لانو بصراحه كنت كتير خايف شوف فيلم لطيف ورومانسي مع 3 سيدات
Ya gördüm seni diyorum arabadaydın gördüm kocan da söyledi. Annesinin haberi var dedi. Neyi bilmiyorsun?,"عم قلك انا شفتك شفتك جوا السياره ما عم تسمعي ؟ ، و زوجك قلي كمان"
Gitmesinler hemen ya. Bir çay falan demleseydik. Teşekkür etmek istiyorum onlara.,قلن لا يروحوا هلق خليني اعمل شاي و نشربا سوا بدي اتشكرن
Bir yemek yiyelim. Ben de tamam dedim. Ne olur ne olmaz. Değil mi?,"وناكل سوا ، وانا قلتلن ماشي مو حلوه ارفض ، ما ؟"
Oğlum nasıl unuttun ya nasıl unuttun? Daha bir saat önce berberden konuşmadık mı senle?,"ابني كيف يعني نسيت كيف نسيت ؟ ، مو حكينا قبل ساعه لما كنا عند الحلاق؟"
Asiye sen şimdi eski kız arkadaşımı gördüm diye bozuldun mu bana?,اسيه زعلتي مني يعني لاني صادفت حبيبتي السابقه ؟
Ben de üzerine güzel bir özür dileyeceğim ondan. Beni de affedecek.,"وانا رح كون معو لطيفه ورح اعتذر منو ، وبظن رح يسامحني"
Tabii ki sırası gelince evlenecek ama tek hayalini sadece evlenmek olmasını istemiyorum.,اكيد رح يتزوج لما يجي الوقت المناسب بس مو يكون حلمو الوحيد هو الزواج وبس
Eğer oğluma bir şey olursa seni kendi ellerimle gebertirim duydun mu beni?,"اذا بصير علي ابني اي شي ، فانا يلي رح اقتلك بايدي يا عمر عم تسمعني؟"
Yani tabii kendi evimize çıksak daha iyi olur. Kimseyi rahatsız etmemiş oluruz. Tamam neyse.,"بس طبعا ، اذا منستاجر بيت ، بكون افضل و ما منزعج حدا بوجودنا"
Kurban olayım bu hamile halimle o deli karınla uğraştırma beni. Ne yapayım?,بلا ما تعلقني مع هديك المرا المجنونه و انا حامل
Ben de zaten bir ortamda bir hata varsa ben de varsa benden başka o hatayı kim yapıyor?,"انا ، اصلا وين بيكون في غلط انا موجود فيه ، ماحدا بيعمل غلط غيري"
Yok gelme ustam ya. Ben tek başıma gideyim. Evde görüşürüz. Geleyim mi? Gelme.,"لاء اسيه لا تجي ، انا بروح لحالي بشوفك بالبيت"
"Ya şekerli su istedi, şekerli su getirdim işte. Ne limonu Akif?",طلبت مي و سكر و هي جبتلك مي و سكر ليش بدك ليمون عاكف؟
Karnım ağrıyor falan dedim yalan attım kıza da ya geri getirdim buraya.,قلتلا بطني عم يوجعني كذبت عالبنت وخليتا ترجع لهون
Ama senin o kızın ne yaptı ne etti yine bir yolunu buldu benim oğlumu kandırdı.,"بس الحيه بنتك عملت المستحيل ، وخدعت ابني ، وعلقتو بشباكا"
Annemle babam öldükten sonra abim yanına aldı beni. Zaten kıt kanı...,"ااااا ، بعد موت ابي و امي اخي اخدني لعيش ببيتو"
Ben senin yanına geleyim gidelim bakalım şu Gönül Hanım'ın yanına o mu yapmış ne yapmış bir öğrenelim,رح اجي اخدك ونروح لعند الست جونول لحتي نعرف اذا هيه اللي عملت هاد الشي
Ya sen çok daha iyilerine layıksın da ne yapayım elimden bu geldi işte.,"انتي بتستاهلي اكتر من هيك كمان ، بس شو اعمل هي قدرتي"
İşte demek ki oraya sizden bunu çalan kötü de oraya sattı.,الظاهر في حدا سرق هالجاكيت منك وباعو لهداك المحل
Hayır biz niye oturduk anlamıyorum ki. Biz niye yardım etmiyoruz kahvaltıya hazırlamaya?,"مافهمت يعني نحن ليش قعدنا ؟ ، ليش ما منقوم منساعدن بتحضير الفطور ؟"
Biz o zaman Akif ile içerideyiz. Bir şeyler izleyeceğiz. Kolay gelsin sana.,طيب انا و عاكف جوا بدنا نتفرج عالتلفزيون يلا يعطيكي العافيه
Senin evlilik yıldönümünmüş gibi giymişsin ve bu durum biraz beni tedirgin etti açıkçası.,كانو هاد عيد زواجك مو عيد زواج رفقاتك و هالشي مخليني اقلق شوي
Ya aslında sen bana şu Neboş'la Akif'in meselesini anlatacaktın. Hep yarım kaldı.,"اي صحيح كنتي عم تحكيلي عن شي بخص نبوش و عاكف و ما كملنا ، خير شو القصه ؟"
Ya keşke bana da söyleseydin. Ben de dolabımdan bir şeyler getirdim.,ياريتك خبرتيني بهالشي كنت انا كمان جبت شي من خزانتي وبعتو
